1|001|CHOLERA|
2|001.0|CHOLERA VIBRIO CHOLERAE|
3|001.1|CHOLERA VIBRIO CHOLER EL TOR|
4|001.9|CHOLERA UNSP|
5|002|TYPHOID PARATYPHOID FEVERS|
6|002.0|TYPHOID FEVER|
7|002.1|PARATYPHOID FEVER A|
8|002.2|PARATYPHOID FEVER B|
9|002.3|PARATYPHOID FEVER C|
10|002.9|PARATYPHOID FEVER UNSP|
11|003|OTHER SALMONELLA INFECTIONS|
12|003.0|SALMONELLA GASTROENTERITIS|
13|003.1|SALMONELLA SEPTICEMIA|
14|003.2|LOCALIZED SALMONELLA INFECT|
15|003.20|LOCALIZED SALMONELLA INFECT|
16|003.21|SALMONELLA MENINGITIS|
17|003.22|SALMONELLA PNEUMONIA|
18|003.23|SALMONELLA ARTHRITIS|
19|003.24|SALMONELLA OSTEOMYELITIS|
20|003.29|OT LOCAL SALMONELLA INFECT|
21|003.8|OT SALMONELLA INFECTIONS|
22|003.9|SALMONELLA INFECTION UNSP|
23|004|SHIGELLOSIS|
24|004.0|SHIGELLA DYSENTERIAE|
25|004.1|SHIGELLA FLEXNERI|
26|004.2|SHIGELLA BOYDII|
27|004.3|SHIGELLA SONNEI|
28|004.8|OT SHIGELLA INFECTIONS|
29|004.9|SHIGELLOSIS UNSPECIFIED|
30|005|OTHER FOOD POISONING (BACT)|
31|005.0|STAPHYLOCOCCAL FOOD POISON|
32|005.1|BOTULISM FOOD POISON|
33|005.2|FOOD POISON CLOST PERFRINGEN|
34|005.3|FOOD POISONING CLOSTRIDIA|
35|005.4|FOOD POIS V PARAHAEMOLYTICUS|
36|005.8|OT BACTERIAL FOOD POISONING|
37|005.81|FOOD POIS VIBRIO VULNIFICUS|
38|005.89|OT BACTERIAL FOOD POISONING|
39|005.9|FOOD POISONING UNSPECIFIED|
40|006|AMEBIASIS|
41|006.0|AC AMEBIASIS WO ABSCESS|
42|006.1|CHR AMEBIASIS WO ABSCESS|
43|006.2|AMEBIC NONDYSENT COLITIS|
44|006.3|AMEBIC LIVER ABSCESS|
45|006.4|AMEBIC LUNG ABSCESS|
46|006.5|AMEBIC BRAIN ABSCESS|
47|006.6|AMEBIC SKIN ULCERATION|
48|006.8|AMEBIC INFECTION OT|
49|006.9|AMEBIASIS UNSPEC|
50|007|OT PROTOZOAL INTESTINAL DIS|
51|007.0|BALANTIDIASIS|
52|007.1|GIARDIASIS|
53|007.2|COCCIDIOSIS|
54|007.3|INTEST TRICHOMONIASIS|
55|007.4|CRYPTOSPORIDIOSIS|
56|007.5|CYCLOSPORIASIS|
57|007.8|PROTOZOAL INTEST DIS OT|
58|007.9|PROTOZOAL INTEST DIS UNSPEC|
59|008|INTESTINAL INFECT OTHER ORG|
60|008.0|INTESTINAL INFECTION E COLI|
61|008.00|ENTERITIS E COLI UNSPEC|
62|008.01|ENTERITIS ENTERPATH ECOLI|
63|008.02|ENTERITIS ENTEROTOX E COLI|
64|008.03|ENTERITIS ENTERINVS E COLI|
65|008.04|ENTERITIS ENTERHEMO E COLI|
66|008.09|ENTERITIS E COLI OTHER|
67|008.1|ARIZONA ENTERITIS|
68|008.2|AEROBACTER ENTERITIS|
69|008.3|PROTEUS ENTERITIS|
70|008.4|INTESTINAL INFECTION OT BACT|
71|008.41|STAPHYLOCOCC ENTERITIS|
72|008.42|PSEUDOMONAS ENTERITIS|
73|008.43|CAMPYLOBACTER ENTERITIS|
74|008.44|YENTEROCOLITICA ENTERIT|
75|008.45|C DIFFICILE ENTERITIS|
76|008.46|ENTERITIS ANAEROBE OT|
77|008.47|ENTERIT GRM NEG BACT OT|
78|008.49|BACTERIAL ENTERITIS OT|
79|008.5|BACTERIAL ENTERITIS UNSPEC|
80|008.6|ENTERITIS SPECIFIED VIRUS|
81|008.61|ENTERITIS ROTAVIRUS|
82|008.62|ENTERITIS ADENOVIRUS|
83|008.63|NORWALK VIRUS ENTERITIS|
84|008.64|ENTERITIS SRV OT|
85|008.65|CALCIVIRUS ENTERITIS|
86|008.66|ASTROVIRUS ENTERITIS|
87|008.67|ENTERIT ENTEROVIRUS OT|
88|008.69|VIRAL ENTERITIS OT|
89|008.8|VIRAL ENTERITIS UNSPEC|
90|009|ILL-DEF INTESTINAL INFECTION|
91|009.0|INFECTIOUS ENTERITIS UNSPEC|
92|009.1|ENTERITIS OF INFECT ORIG|
93|009.2|INFECTIOUS DIARRHEA|
94|009.3|DIARRHEA OF INFECT ORIG|
95|010|PRIMARY TUBERCULOUS INFECT|
96|010.0|PRIMARY TUBERCULOUS COMPLEX|
97|010.00|PRIMARY TB COMPLEX UNSPEC|
98|010.01|PRIMARY TB COMPLEX NO EXAM|
99|010.02|PRIMARY TB COMPLEX EXM UNKN|
100|010.03|PRIMARY TB COMPLEX MICRO DX|
101|010.04|PRIMARY TB COMPLEX CULT DX|
102|010.05|PRIMARY TB COMPLEX HISTO DX|
103|010.06|PRIMARY TB COMPLEX OT TEST|
104|010.1|TUBERCULOUS PLEURISY PRIM TB|
105|010.10|PRIMARY TB PLEURISY UNSPEC|
106|010.11|PRIMARY TB PLEURISY NO EXAM|
107|010.12|PRIMARY TB PLEUR EXAM UNKN|
108|010.13|PRIMARY TB PLEURIS MICRO DX|
109|010.14|PRIMARY TB PLEURISY CULT DX|
110|010.15|PRIMARY TB PLEURIS HISTO DX|
111|010.16|PRIMARY TB PLEURIS OT TEST|
112|010.8|OTHER PRIMARY PROGRESSIVE TB|
113|010.80|PRIMARY PROG TB OT UNSPEC|
114|010.81|PRIMARY PROG TB OT NO EXAM|
115|010.82|PRIMARY PR TB OT EXAM UNKN|
116|010.83|PRIMARY PRG TB OT MICRO DX|
117|010.84|PRIMARY PROG TB OT CULT DX|
118|010.85|PRIMARY PRG TB OT HISTO DX|
119|010.86|OT PRIMARY PRG TB OT TEST|
120|010.9|PRIMARY TB INFECTION UNSPEC|
121|010.90|UNSP PRIMARY TB UNSPEC|
122|010.91|PRIMARY TB UNSP NO EXAM|
123|010.92|PRIMARY TB UNSP EXAM UNKN|
124|010.93|PRIMARY TB UNSP MICRO DX|
125|010.94|PRIMARY TB UNSP CULT DX|
126|010.95|PRIMARY TB UNSP HISTO DX|
127|010.96|PRIMARY TB UNSP OT TEST|
128|011|PULMONARY TUBERCULOSIS|
129|011.0|TB OF LUNG INFILTRATIVE|
130|011.00|TB LUNG INFILTRATV UNSPEC|
131|011.01|TB LUNG INFILTRATV NO EXAM|
132|011.02|TB LUNG INFILTRATV EXM UNKN|
133|011.03|TB LUNG INFILTRATV MICRO DX|
134|011.04|TB LUNG INFILTRATV CULT DX|
135|011.05|TB LUNG INFILTRATV HISTO DX|
136|011.06|TB LUNG INFILTRATV OT TEST|
137|011.1|TB OF LUNG NODULAR|
138|011.10|TB LUNG NODULAR UNSPEC|
139|011.11|TB LUNG NODULAR NO EXAM|
140|011.12|TB LUNG NODULAR EXAM UNKN|
141|011.13|TB LUNG NODULAR MICRO DX|
142|011.14|TB LUNG NODULAR CULT DX|
143|011.15|TB LUNG NODULAR HISTO DX|
144|011.16|TB LUNG NODULAR OT TEST|
145|011.2|TB OF LUNG W CAVITATION|
146|011.20|TB LUNG W CAVITY UNSPEC|
147|011.21|TB LUNG W CAVITY NO EXAM|
148|011.22|TB LUNG W CAVITY EXAM UNKN|
149|011.23|TB LUNG W CAVITY MICRO DX|
150|011.24|TB LUNG W CAVITY CULT DX|
151|011.25|TB LUNG W CAVITY HISTO DX|
